"id","分类","优先级","文件或资源","位置","告警内容","建议处理方式","状态","完成说明"
"W055","废弃 API","P1","entry/src/main/ets/pages/ChatDetailEmptyPage.ets","36:56","'getContext' has been deprecated.","先查官方替代说明，再改为当前组件或 Ability 可用的上下文来源","完成","已按官方替代 API 迁移"
"W056","废弃 API","P1","entry/src/main/ets/components/provider/ProviderShareSheet.ets","118:36","'packing' has been deprecated.","先查官方替代说明，再迁移 packing 调用或保留兼容封装","完成","已按官方替代 API 迁移"
"W057","废弃 API","P1","entry/src/main/ets/pages/ThemeModeSettingsPage.ets","945:7","'animateTo' has been deprecated.","先查官方替代说明，再迁移动画调用或保留兼容封装","完成","已按官方替代 API 迁移"
"W058","废弃 API","P1","entry/src/main/ets/pages/ThemeModeSettingsPage.ets","994:13","'animateTo' has been deprecated.","先查官方替代说明，再迁移动画调用或保留兼容封装","完成","已按官方替代 API 迁移"
"W059","异常处理缺失","P1","entry/src/main/ets/services/ImageGenerationService.ets","859:18","Function may throw exceptions. Special handling is required.","按图片保存或生成流程语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W060","异常处理缺失","P1","entry/src/main/ets/services/ImageGenerationService.ets","861:20","Function may throw exceptions. Special handling is required.","按图片保存或生成流程语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W061","异常处理缺失","P1","entry/src/main/ets/services/ImageGenerationService.ets","863:7","Function may throw exceptions. Special handling is required.","按图片保存或生成流程语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W062","异常处理缺失","P1","entry/src/main/ets/services/ImageGenerationService.ets","866:7","Function may throw exceptions. Special handling is required.","按图片保存或生成流程语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W063","异常处理缺失","P1","entry/src/main/ets/utils/RawfileImageSaveUtil.ets","10:23","Function may throw exceptions. Special handling is required.","按 rawfile 读取和图片保存语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W064","异常处理缺失","P1","entry/src/main/ets/utils/RawfileImageSaveUtil.ets","13:20","Function may throw exceptions. Special handling is required.","按 rawfile 读取和图片保存语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W065","异常处理缺失","P1","entry/src/main/ets/utils/RawfileImageSaveUtil.ets","14:3","Function may throw exceptions. Special handling is required.","按 rawfile 读取和图片保存语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W066","异常处理缺失","P1","entry/src/main/ets/utils/RawfileImageSaveUtil.ets","15:3","Function may throw exceptions. Special handling is required.","按 rawfile 读取和图片保存语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W067","异常处理缺失","P1","entry/src/main/ets/utils/RawfileImageSaveUtil.ets","26:31","Function may throw exceptions. Special handling is required.","按 rawfile 读取和图片保存语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W068","异常处理缺失","P1","entry/src/main/ets/utils/RawfileImageSaveUtil.ets","34:17","Function may throw exceptions. Special handling is required.","按 rawfile 读取和图片保存语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W069","异常处理缺失","P1","entry/src/main/ets/utils/RawfileImageSaveUtil.ets","35:17","Function may throw exceptions. Special handling is required.","按 rawfile 读取和图片保存语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W070","异常处理缺失","P1","entry/src/main/ets/utils/RawfileImageSaveUtil.ets","36:13","Function may throw exceptions. Special handling is required.","按 rawfile 读取和图片保存语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W071","异常处理缺失","P1","entry/src/main/ets/utils/RawfileImageSaveUtil.ets","65:29","Function may throw exceptions. Special handling is required.","按 rawfile 读取和图片保存语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W072","异常处理缺失","P1","entry/src/main/ets/utils/RawfileImageSaveUtil.ets","73:15","Function may throw exceptions. Special handling is required.","按 rawfile 读取和图片保存语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W073","异常处理缺失","P1","entry/src/main/ets/utils/RawfileImageSaveUtil.ets","74:15","Function may throw exceptions. Special handling is required.","按 rawfile 读取和图片保存语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W074","异常处理缺失","P1","entry/src/main/ets/utils/RawfileImageSaveUtil.ets","75:11","Function may throw exceptions. Special handling is required.","按 rawfile 读取和图片保存语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W075","异常处理缺失","P1","entry/src/main/ets/pages/AboutPage.ets","459:11","Function may throw exceptions. Special handling is required.","按页面能力调用语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W076","废弃 API","P1","entry/src/main/ets/components/onboarding/OnboardingStepPrompts.ets","33:54","'getContext' has been deprecated.","先查官方替代说明，再改为当前组件或 Ability 可用的上下文来源","完成","已按官方替代 API 迁移"
